stem,gender_ann,group_id,label,music_type_ann,vowel_ann,Total Duration,path,duration_sec,singer,gender
f1_arpeggios_belt_c_a,Female,f1,Belt_Harsh,Arpeggio,a,7.27946,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/belt/f1_arpeggios_belt_c_a.wav,7.279455782312925,female1,female
f1_arpeggios_belt_c_e,Female,f1,Belt_Harsh,Arpeggio,e,7.73225,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/belt/f1_arpeggios_belt_c_e.wav,7.737278911564625,female1,female
f1_arpeggios_belt_c_i,Female,f1,Belt_Harsh,Arpeggio,i,8.01089,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/belt/f1_arpeggios_belt_c_i.wav,8.011972789115646,female1,female
f1_arpeggios_belt_c_o,Female,f1,Belt_Harsh,Arpeggio,o,7.82513,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/belt/f1_arpeggios_belt_c_o.wav,7.828843537414966,female1,female
f1_arpeggios_belt_c_u,Female,f1,Belt_Harsh,Arpeggio,u,7.45361,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/belt/f1_arpeggios_belt_c_u.wav,7.462585034013605,female1,female
f1_arpeggios_breathy_a,Female,f1,VeryBreathy,Arpeggio,a,7.43039,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/breathy/f1_arpeggios_breathy_a.wav,7.441768707482993,female1,female
f1_arpeggios_breathy_e,Female,f1,VeryBreathy,Arpeggio,e,7.52327,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/breathy/f1_arpeggios_breathy_e.wav,7.530362811791383,female1,female
f1_arpeggios_breathy_i,Female,f1,VeryBreathy,Arpeggio,i,7.69742,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/breathy/f1_arpeggios_breathy_i.wav,7.707573696145125,female1,female
f1_arpeggios_breathy_o,Female,f1,VeryBreathy,Arpeggio,o,7.17497,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/breathy/f1_arpeggios_breathy_o.wav,7.176009070294785,female1,female
f1_arpeggios_breathy_u,Female,f1,VeryBreathy,Arpeggio,u,6.81506,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/breathy/f1_arpeggios_breathy_u.wav,6.821632653061225,female1,female
f1_arpeggios_c_fast_forte_a,Female,f1,Fast_Articulated_Forte,Arpeggio,a,2.5542,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_a.wav,2.5606349206349206,female1,female
f1_arpeggios_c_fast_forte_e,Female,f1,Fast_Articulated_Forte,Arpeggio,e,2.41488,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_e.wav,2.4203174603174604,female1,female
f1_arpeggios_c_fast_forte_i,Female,f1,Fast_Articulated_Forte,Arpeggio,i,2.48454,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_i.wav,2.4904761904761905,female1,female
f1_arpeggios_c_fast_forte_o,Female,f1,Fast_Articulated_Forte,Arpeggio,o,2.58903,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_o.wav,2.5957142857142856,female1,female
f1_arpeggios_c_fast_forte_u,Female,f1,Fast_Articulated_Forte,Arpeggio,u,2.72835,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_forte/f1_arpeggios_c_fast_forte_u.wav,2.736009070294785,female1,female
f1_arpeggios_c_fast_piano_a,Female,f1,Fast_Articulated_Piano,Arpeggio,a,1.96209,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_piano/f1_arpeggios_c_fast_piano_a.wav,1.9716326530612245,female1,female
f1_arpeggios_c_fast_piano_e,Female,f1,Fast_Articulated_Piano,Arpeggio,e,2.06658,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_piano/f1_arpeggios_c_fast_piano_e.wav,2.0772562358276643,female1,female
f1_arpeggios_c_fast_piano_i,Female,f1,Fast_Articulated_Piano,Arpeggio,i,1.89243,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_piano/f1_arpeggios_c_fast_piano_i.wav,1.9012244897959183,female1,female
f1_arpeggios_c_fast_piano_o,Female,f1,Fast_Articulated_Piano,Arpeggio,o,2.21751,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_piano/f1_arpeggios_c_fast_piano_o.wav,2.218095238095238,female1,female
f1_arpeggios_c_fast_piano_u,Female,f1,Fast_Articulated_Piano,Arpeggio,u,2.21751,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/fast_piano/f1_arpeggios_c_fast_piano_u.wav,2.2180725623582767,female1,female
f1_arpeggios_c_slow_forte_a,Female,f1,Slow_Legato_Forte,Arpeggio,a,7.51166,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_forte/f1_arpeggios_c_slow_forte_a.wav,7.521678004535147,female1,female
f1_arpeggios_c_slow_forte_e,Female,f1,Slow_Legato_Forte,Arpeggio,e,7.59293,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_forte/f1_arpeggios_c_slow_forte_e.wav,7.59766439909297,female1,female
f1_arpeggios_c_slow_forte_u,Female,f1,Slow_Legato_Forte,Arpeggio,u,8.04572,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_forte/f1_arpeggios_c_slow_forte_u.wav,8.053514739229024,female1,female
f1_arpeggios_c_slow_piano_a,Female,f1,Slow_Legato_Piano,Arpeggio,a,8.1386,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_piano/f1_arpeggios_c_slow_piano_a.wav,8.149682539682539,female1,female
f1_arpeggios_c_slow_piano_e,Female,f1,Slow_Legato_Piano,Arpeggio,e,8.64944,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_piano/f1_arpeggios_c_slow_piano_e.wav,8.650090702947846,female1,female
f1_arpeggios_c_slow_piano_i,Female,f1,Slow_Legato_Piano,Arpeggio,i,7.63937,/home/evgeniy/Projects/VocalAssistant/datasets/VocalSet/FULL/female1/arpeggios/slow_piano/f1_arpeggios_c_slow_piano_i.wav,7.6492743764172335,female1,female
